"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
115,"[생활불편신고]환경오염행위","주공 2차에 거주하는 부안 군민입니다.불특정한 요일과 시간대, 주로 밤에 악취가 너무 심하게 납니다소독차처럼 금방 사라지는 냄새도 아니고 가축 배설물 냄새가 열대야가 지속되는 이 여름밤에 두시간 가까이 냄새가 베어 빼내기도 힘듭니다심지어 저희 아파트 동 구조가 앞뒤로 바람이 잘 통하지 않는 막힌구조입니다.더운 여름에 문을 열어놓고 잠을 자야하는 시간에, 또 배란다에 빨래를 널어놓는데냄새가 다 베어 못살겠습니다. 도대체 이 악취의 원인이 무엇이며, 당최 언제까지이럴건지. 차량의 이동에 의한 악취라면 굳이 사람들이 사는 아파트 거주단지 근방으로 지나가야만 하는지. 낱낱이 알려주시고 빠른 답변과 개선 부탁드립니다.폭염은 끝날줄 모르고, 그로인해 불쾌지수도 높아져가만 가는데 냄새때문에 정말 머리가 지끈거립니다.","2018-08-17",,"2018-08-27","친환경축산과","처리완료","부안읍"
116,"피해자가 너무 많으니 꼭 확인하시고 좋은 해결책을 주시면 감사하겠습니다.","안녕하십니까? 저는 목포시 소속 공무원(4급)으로 현재 지방행정연수원에서 고급리더과정 장기교육을 받고 있는 심인섭이라고 합니다. 군산시는 우리 목포시와 같이 도시재생선도지역 사업지구로 선정되어 금년까지 사업을 마무리할 예정으로 알고 있습니다. 그리고 몇몇사업은 가시적인 성과나 나타나고 있다고 들었습니다. 그래서 이번 교육과정에서 개인과제 연구를 위해 군산시의 성공적인 도시재생사업 사례를 참고코자 하오니  바쁘시겠지만 다음 자료를 요청하오니 협조하여 주시면 대단히 감사하겠습니다.제가 부탁드리는 자료는,○ 근대문화유산을 이용한 테마거리 조성사업  - 사업개요, 주요 추지내용, 사업기간 및 사업비, 그동안의 성과 등○ 근대 역사경관 조성사업   - 사업개요, 주요 추지내용, 사업기간 및 사업비, 그동안의 성과 등○ Habor Park 조성사업   - 사업개요, 주요 추지내용, 사업기간 및 사업비, 그동안의 성과 등보낼곳 : simself@daum.net  문의전화 : 010-8603-0528","2018-01-19","2018-01-19","2018-01-29","직소민원팀","처리완료","줄포면"
117,"인북로3길(농협길)cctv설치요청!!!","익산역앞 우리은행에서 ibk기업은행 또 젊음의거리 입구까지 1시간 무료 주차는 좋은데... 얌채 가게에서 주차 못하게 앞에다 불법 적치물 놓은 건 무었인지요. 항상 20-30% 가게에서 화분및 의자 놓고 심지어 그늘막텐트까지 또 옷걸이에 옷까지 널어놓고 주차 못하게 하는데 이곳을 지나가 가면서 보면 이건 아닌듯 싶네요. 대다수 점포에서 손님 맞을려고 주차하게 앞을 비워 놓는데 화장품 옷가게 심지어 은행에서 앞에다 화분 의자를 놓다니.... 언제 한번 불법 적치물 단속해서 다 수거해 갔으면 합니다!!! 비양심적 가게때문에 중앙 시장이 죽습니다.","2017-09-22","2017-09-22","2017-09-26","시민안전과","처리완료","부안읍"
118,"주얼리 임대형공장","안녕하세요. 익산에 살고 있는 한 시민 입니다. 오늘 아이들이랑 국화꽃죽제 갔다 왔습니다. 좋은 추억 만들어고 기쁨 마음이 갔는데 자증나고 우울하고 왔습니다.  현수막 국화전시에서 국화관리하고 있는 분 중에 나이 든 할아버지가 있습니다. 우리가 사진이 찍으려고 했는데.... 그 꽃을 비싸다고 우리도 압니다. 우리가 꽃이 만지는 것도 아닌데 할아버지가 너무 했습니다. 아니면 우리가 외국사람이라서 무시하는 겁니까? 지금도 화가 많이 납니다. 할아버지가 연세도 많으신데 거기서 관리자하신 분이면 기본적으로 태도가 너무 안됩니다. 사람도 많고, 게다가 우리 아이들도 있습니다. 근데 할아버지가 그 자리에서 소리가 왜 찌르겁니다. 좋게 이야기하면 되찮아요.  지금도 우리 아이다 무서워 하고 있습니다. 저한테 `엄마 왜 그 할아버지가 우리한테 혼냈어요?`라고 질물을 합니다. 다름 없이 그 중요한 자리에 일 하시면 관객들에게 좋은 서비스를 대해 해주시면 좋겠습니다. 특히 외국 사람이라고 무시 하지마세요. 부탁드립니다.","2017-10-25","2017-10-25","2017-10-25","한류패션과","처리완료","부안읍"
119,"유니세프 아동 친화도시 인증","(이상하고,황당한 일이 발생되는 현실의 속을 보며 사연을 올립니다) ","2016-10-21","2016-10-21",,"어린이행복과","처리중","부안읍"
120,"불법주차 감소 방안:시내 주차장 연계한 요금할인 카드 제작","한옥마을 관광상품 제안(인력거)","2017-03-16",,,"기획예산과","처리완료","부안읍"
121,"김제시청에서 관리하는 전 공공청사 내 비상구 유도등 표시 방향 개선","◈ 정의로운 김제! 외국인과 함께 만들어가는 시책..^^","2018-08-06",,"2018-08-17","회계과","처리완료","부안읍"
122,"불법설치물 철거요청","어양동 센트럴파크 공사현장에서 발생하는 소음때문에 불편함이 있어 민원넣습니다새벽 4시반부터 공사한다고 소음이 발생하는데 시정조치부탁드립니다도대체 몇시부터 공사를하는건지? 공사시작시간에 대한  제한같은건 없는지? 여름이라 창문을열고 잠을 자는데 새벽부터 시끄러워서 잠을 자기어렵습니다","2018-07-26","2018-07-26","2018-07-27","주택과","처리완료","부안읍"
123,"공익사업을 위한 토지 등의 취득 보상 법률에 따른 보상 재결 신청","부안 변산반도 채석강에 꽃마차가 있습니다신데렐라 꽃마차라고 오래전부터 운영했다고 합니다곧 날도 뜨거워 집니다더운 여름날도 시원한 물 한모금 제대로 먹지못하고 뜨거운 시멘트 바닥을 많은 사람들을 태우고 발바닥도 제대로 관리 받지 못한체 뛰어야겠지요동물보호법에 따라 단속해주세요","2018-04-09",,"2018-04-17","해양수산과","처리완료","부안읍"
124,"제2회 장수군 한우랑 사과랑 축구대회","p장수군 제2회 한우랑 사과랑 축구대회 다녀와서.../p

p안녕하세요./p

p저희는 축구 동호회 서울 경기지역 이칠회 팀입니다./p

p먼저 장수군 축구협회 관계자 분들께 깊은 감사 인사드립니다./p

p저희 팀은 장계 중학교 27회 동기들이 모여 만든 축구 동아리 팀입니다./p

p고향이 장수군 이고 고향 축제이다 보니 회원님들이 많이 참석 하였고.../p

p입구에서 부터 친절한 안내 형님 동생님들 따뜻한 인사말이 고마웠습니다./p

p개막식은 짧은 식 행사에 박수를.../p

p경기 진행은 만족.../p

p1박1식를 천천 와룡 배정받고 휴식.../p

p15명이 한방에서 보내자니 조금은 피곤.../p

p조식 한끼는 만족들 하시고.../p

p저녁엔 한우랑 사과랑 행사장 한우고기 압권.../p

p멋진 추억 남길수 있는 행사로 거듭나길 바라며.../p

p행사 관계자 분들께 다시한번 박수를 보냅니다./p

p감사합니다./p

p고생 했습니다./p

p사랑합니다./p

p제3회 대회가 기다려 집니다./p

p이칠회 올림/p","2016-09-08",,"2016-09-12","대외협력","처리완료","변산면"
125,"반려견 잡아먹은 사람들 엄중한 처벌 부탁드립니다.","유기견 보호소 상황 알고계세요?도데체 왜 이런사진이 나돌고 있나요유기견 보호소에요 개장수집이아니고 강아지들 대할줄도 모르는 사람이 운영하고 있나요???보호하는 곳이라고 달아놓고 저게 뭡니까여기저기 사진 다 퍼지고있고 가능하면 많은곳에 올릴예정입니다저런식으로 하다니요 저 사진하나에 주인을찾고 하는 아이들인데사진만 내리는 식으로 대처하지마시고제대로 해결해주세요","2016-10-04","2016-10-04","2016-10-06","축산과","처리완료","상서면"
126,"택시 승차거부","서동공원내에서 용화산 올라가는 계단이 폐목으로 되있는데  여름에는 정말 휘발성냄새가 머리가 띵할정도로 지독하다...기사에서 본듯한데 발암성 물질이라고 한다...폐목이 휘발성유기물질과 중금속이 뒤섞여있는듯 보였다...현재 용화산 초입을 다듬고 뭘로 깔고 하면서 공원화 작업중인것 같던데 하는 김에 계단도 교체해주길 바란다...사진에도 보이듯이 휘발성유기물질이 마치 아스팔트 이물질처럼 검게 보인다...","2017-12-11","2017-12-11","2017-12-11","교통행정과","처리완료","부안읍"
127,"교통지도가 필요합니다.","저희 집은 3층짜리 빌라의 2층이고 10여년전에 앞에 2층 주택이 지어졌습니다. 그 건물을 지을때도 앞집 2층과 저희집이 맞닿아 있어서 앞집 창문을 가리기로 하고 허가가 났었습니다. 그 동안은 별다른 마찰 없이 지내고 있엇는데 이번 추석에 앞집이 베란다에 벽(?)을 만드는 공사를 했습니다. 비가 들이치지 말라고 한 것 같습니다.그런데 베란다 창문을 기존 집 창문과 동일한 위치에 아주 크게 3개를 냈습니다. 그러면서 기존에 창문을 막고 있던 나무판을 다 뜯어 내셨더라구요. 하루만에 후다닥 이뤄진 공사였고 일 끝내고 집에 오신 엄마는 기겁을 하셨습니다. 저희 집 거실은 물론이고 안방 심지어 욕실까지도 다 보입니다. 창문이 너무 가까워져서 채 2미터도 안되는 것 같습니다.여러차례 찾아가 베란다 창문을 막아달라고 했으나 처음에는 그러겠다고 하셨다가 지금은 못 막겠다고 하십니다.저희는 생활이 불가능하구요, 처음 건물을 지을때도 빌라 주민들이 모두 말해도 안들어 주셔서 시청에서 직접 나오셔서 중재를 해 주셨었습니다. 베란다가 정상적으로 공사가 된 건지도 궁금하구요 (너무 가까워져 버려서)  그 공사가 정상적이었다고 해도 창문을 낸것과 그 창문을 가리지 않은 것에 대한 시정을 요구해 주셨으면 합니다. 저희 말은 들은 척도 안하십니다.저희 집 주소는 남중동 2가 대영연립 A동 201호 입니다.연락 가능한 전화번호는 010 3848 3282 또는 011 9628 4946입니다.저희가 정상적으로 생활할 수 있도록 부탁드리겠습니다.","2016-08-08","2016-08-08","2016-08-09","교통행정과","처리완료","줄포면"
128,"[생활불편신고]장애인 전용주차구역 불법주차","전라북도 부안군 부안읍 동중리 244-14보도블럭 튀어나와 보행자 위험*  *(1/1) C: 2018/05/10 12:41:40G:  *","2018-05-11",,"2018-05-14","주민행복지원실","처리완료","부안읍"
129,"시민공원 개똥 그리고 환경지킴이분들","몹시 기분이 나쁘네요 개2년동안 키우면서 단 한번도 배변 안치운적 없었고Cctv 있으면 돌려보세요 진짜ㅡ지역카페 개 혐오글때문에 피해입을까봐남의 개똥도 치우면서 살았는데 참나..소형견이 자기 얼굴보다 큰똥을 사람똥만한걸 어떻게쌉니까 물론 그분들이 해야될 일이라는 건 알겠습니다만아니라는걸 말했음에도 저 아가씨 강아지가 그런거 같다는 둥 그냥 가버린다는 둥 무슨 내가 죄를 지은것마냥 사람뒷통수에 대고말하시던데 봉변도 이런 봉변이 없네요 배변 안치우는 사람들 또 목줄 안하는 사람들 신고 방법같은것도'안하면 과태료 10만원'이게 아니라 구체적 신고 방법도 좀 알려주시면 제가 지역카페에 글 올리겠습니다 그리고 환경지킴이 아주머니분들 그분들이 고생하는건 알겠지만 전후사정 듣지도 않고 뻔히 배변봉투 들고 있는 사람한테 말도 안되는 소리좀 안하게 해주세요 너무기분 나쁘네요 이번 한번이 아니라서 그럽니다.","2017-10-20","2017-10-20","2017-10-26","축산과","처리완료","동진면"
130,"다문화 축제를 연계한 다문화정책, 다문화 감수성 제고","전라북도 부안군 상서면 감교리 730-1도로가 파손되어 웅덩이가 생겨서 불편함*  *(1/1) G: 2018/04/04 12:46:47G:  *","2018-06-09",,"2018-07-10","기획예산과","처리완료","부안읍"
131,"(SPP-1703-2100311)보도블록 파손","전라북도 부안군 부안읍 봉덕리 514불법현수막","2017-03-21",,"2017-03-31","푸른도시과","처리완료","변산면"
132,"GPS정보를 이용한 버스 정류소 도착시간정보 개발요청","인화동 목천로 엠클레스 근처 사거리  sk우리주유소 가격표 불법 간판을 신고합니다.","2016-02-15","2016-02-15","2016-02-17","교통행정과","처리완료","부안읍"
133,"어양동 익산 로컬푸드 직매장 입구","국민생활관 김효연님!!너무 오랜시간 지나지 않아 답변 달아주셔서 감사합니다.--------------------------------------------------------가. 평소 국민생활관 발전을 위하여 협조해 주셔서 감사드립니다.나. 수영 1개반을 운영하려면 최소 10명 이상이 되어야 합니다. 민원인께서 수강신청하려는 저녁 6시 30분 수영반은 10명 미만으로 개설되지 않았음을 양해하여 주시기 바랍니다.다. 기타 궁금하고 불편하신 사항은 국민생활관 사무실로 내방하시거나 김효연(☎859-4285)으로 문의하여 주시면 성심성의껏 답변하여 드리겠습니다.----------------------------------------------------------김효연선생님이 어느 분이신지 전 잘 모릅니다.그리고 10명이 되지 않아 반이 개설되기 어렵다는 것을 모르는 것도 아닙니다.회원들이 뭘 원하고 어떤 태도를 원하시는지 제발!! 정확하게 인지해주시고 변화를 기대하는 것입니다.그 반이 18개월째 운영중이었습니다. 그런데 여느때와 마찬가지로 수영수업을 위해서 부랴부랴 퇴근시간에쫓겨서 수업에 늦지 않으려고 갔는데 반이 없어졌다는 겁니다. 바로 앞선 수업에서조차 그런 언급이 없었는데 말이죠.자.. 이쯤되면 반이 있고 없고의 문제가 아닌 다른 문제라는 생각이 들지 않으세요?이랬으면 어땠을까요?--------------회원님께서 불편하셨다니 먼저 담당자로서 죄송합니다. 먼저 챙겼어야 했는데 미처 챙기지 못했네요.수영반 개설을 위해서는 최소10명 이상이 되어야 운영이 가능한데 회원님께서 원하시는 반은 10명이되지 않아 개설이 되지 못했습니다.사전에 공지하고 알렸어야 했는데 수업당일에 오셔서 반이 없어졌다는 소식을 들었으니 저라도 당황했을 것 같네요.차후에는 이런일이 발생하지 않도록 좀더 세심하게 배려하도록 하겠습니다.항상 관심가져주셔서 감사하고 건강한 생활을 위해서 좀더 노력하는 국민생활관이 되겠습니다.-------------------------------------이정도의 댓글마저 시민으로서 요청하는 것이 과욕인가요?","2016-02-29","2016-02-29","2016-03-09","도로관리과","처리완료","부안읍"
134,"학군선택 및 학교활성화 방안","안녕하세요~ 시장님~~~~시장님이 꼭 보시고 방안을 마련해 주시기를 바라며 민원을 올립니다.두 아이를 키우며 천서유치원 , 천서 초등학교를 보내고 있는 학부모입니다.제가 사는 곳은 익산 왕궁온천장 옆에 있는 고려온천아파트에 살고 있습니다.처음 이곳에 이사와서 알게 된 것은 삼례와 경계에 있는 곳이라 삼례초등학교와 천서초등학교 이렇게 두 곳이 있는데 선택해서 자녀를 학교에 보낼 수 있게 되어 있더군요~저도 처음엔 천서초등학교보다 삼례초등학교가 더 크고 대부분의 아이들이 삼례로 가기에 당연하게 보내려고 생각하다가 천서초등학교 교장선생님의 마인드를 보고 선택하게되었습니다. 이 곳에 대부분의 엄마들은 고민하지 않고  완주군에 삼례초등학교를 선택해서 보내는 것이 안타까워 민원을 넣게 되었습니다.  입학설명회 조차 와 보지 않고 선택하는 경우도 너무나 많습니다. 점점 아이들도 줄어들고 천서초등학교에 보내는 엄마들 마저도 인원이 너무 적어서 아이들을 1학년에 입학시키는 것 조차 꺼려하여 삼례로 이사를 생각하기도 하고 대부분 삼례초등학교를 선택하고 있습니다. 이 곳 아파트에 아이들만 천서초등학교로 다녀도 학교가 더욱 활성화가 될 터인데 너무 안타깝고 시골학교라 지원도 많이 되고 너무나 좋은 환경임에도 불구하고 부모님들의 인식이 아무래도 아이들을 큰 학교에 보내고 싶어 삼례를 택하지 않나 싶습니다. 익산에 주소를 두고 있는 엄마들이 고민하지 않고 천서초등학교로 보낼 수 있도록 적절한 홍보 그리고 방안을 주셨으면 좋겠습니다.  꼭!꼭!꼭!  지나치지 마시고 지역을 활성화 시키고 학교를 살리는 방안을 생각해 주시면 감사하겠습니다. 제가 나서서 할 수 있는 게 민원밖에 없어서 꼭 시장님이 보시고 해결해 주시면 감사하겠습니다.","2017-10-29","2017-10-29","2017-10-31","교육정보과","처리완료","고마제윗길"
135,"야간에 상수도 수압이 떨어지는 이유가 궁금합니다..","번영로115번지 인도가 무단 점거되어 통행에 중대하게 방해 받고 있습니다.하루 이틀도 아니고 연중항상 건설기계로 방치되어 있습니다.대흥종합기계에서 인도의 3분의2를 차지하고 있습니다.조속히 해결해 주세요 부탁드립니다. 수고 하세요~^^","2018-02-02","2018-02-02","2018-02-19","수도과","처리완료","부안읍"
136,"국립공원내 불법묘지 이장 요청","2016년 7월 26일 오후 4시경 아이둘을 데리고 해수풀장에 갔습니다. 입장할때 표를 체크하시는 여자분 한분만 계셨고 4m정도 되보이는 풍선미끄럼틀이 있어서 아이들이 물놀이를 하며 놀고 있었습니다. 수심이 얕아 아이둘만 풀장에 넣은 상태였으며 아이들은 이따금 미끄럼을타며 놀았는데..몇몇 초등학생 고학년으로 보이는 그룹 아이들이 미끄럼틀위에서 위험하게 흔들고 아이들이 아래에 있는데도 불구하고 무조껀 밀고 내려오고 위험한 놀이는 계속 되었습니다. 여자 직원분이 나무라시는데도 별 반응도 없고 엄마들은 방치한체 그집 여자아이가 미친듯 풍선위에서 흔들어 버리는 바람에 저희 아이들이 그아이들 뒤에 서있다데 둘째가 4M뒤로 떨어질뻔한걸 첫째가 잡아서 우는걸 달래주고 있었습니다. 왠만하면 그냥 넘어갈까 했지만 지금도 불쾌하고 가슴이 쿵쾅커려 잠을 잘 수가 없습니다. 다른곳에서는 풍선위에서 안전 요원이 상주하며 차례대로 미끄럼틀을 이용하게하는데 이건 방치 수준이 남다른듯 합니다. 풀장이 끝날쯤 남자분이 출현하셨는데 그분은 정말 안전요원인가요? 제 아이가 그곳에서 떨어져 큰 사고라도 당했다면 당신들은 어떤 보상을 하실 겁니까? 큰 아이들을 컨트롤 못하실거면 퇴장하게 하시든지 상시 안전요원 배치를 하세요.다음번에 다시가보겠습니다. 어떻게 변해있을지 또 같은 상황일지..","2016-09-20",,"2016-09-27","기획감사실","처리완료","부안읍"
137,"감사과 답변에 대한 질의","익산문화체육센터 직원을 강력하게 신고합니다!!저는 김제시에서 작은 커피숍을을 운영하며 살고있는 44세의 주부입니다.8월 16일 오전..익산 부송동에 살고있는 친 여동생 집으로 놀러갔다가..현재 여동생의 건강관리에 대해서 얘기끝에..집 옆에 문화체육센터가 있으니 그곳에서 운동하며 건강관리 하라고 설득해서 제가 직접 익산문화체육센터에 여동생을 데리고 등록도 해줄겸해서 함께 찾아가게 되었습니다.처음 방문한 그곳은 생각보다 시민들이 많더군요.그래서 더욱 신뢰가 가고 환경이 맘에 들었습니다.그러나 그런 마음을 단10분만에 처참히 무너지게 해버린 그 직원을 고발하려고 용기내서 직접 글을 올립니다.그 헬스직원은 안경쓴 분이 였습니다.절대 잊지 못할 치욕스런 그 직원의 응대와 태도를 잊지 못하겠습니다.수줍음이 많은 여동생 혼자 보냈더라면 더 했을테지요!!기구 사용법이라던지 어떻게 등록해서 이용하면 되는지 절차에 대해서 안내에 문의하고 자세한 사항은 헬스 선생님께서 알려주실거라고 하시길래..헬스장에서 아무리 찾아봐도 직원 코빼기도 안보였습니다.그래서, 앞 카페에가서 한시간 가량 차마시며 시간보낸 후에 다시 헬스장에 찾아갔더니..그 헬스 선생님이 자리에 앉아서 휴대폰만 쳐다보며 눈도 안마주쳐주고 응대 조차도 해줄 생각이 없더군요!!""""""""처음와서 그러는데..어떻게 운동을 해야하나요?""""""""이렇게 물어봤으면 그 질문에 대한 응대라도 기본으로 해주시던가 아니면 일어나서 눈인사부터 시작해야 하는게 아닌가요?그 직원은 정말이지 너무나 저희들을 무시하며 댓구도없이 본인 용무가 뭐가 그리 바쁜지 고개숙여 휴대폰만 쳐다보면서 저희들에게 관심 조차 없더군요!!몇번 더 망설이다 물어봤는데도..무성의하게""""""""저쪽 가서 그냥 하세요!""""""""그 한마디가 전부였습니다.그때 그날 다른 회원들에게도 관심조차 없더군요!!여러 정황을 상세히 설명드리면 더 길어질겁니다.정말이지 그날의 치욕은..제 여동생 앞에서 창피하고 속상한 마음을 어떻게 표현 할수가 없더군요!!익산 시민의 건강증진을 위해서 건설되고 운영한다던 홈페이지 글과는 정 반대로 시민들에게 정신적 충격과 실망을 안겨주실수가 있는건가요?익산시에서 관리하는 곳이 아닌가요?도대체 직원 직무 교육은 제대로 이루어지고 있는건가요?분명 그곳은 시민의 편익시설이 아니라 그 직원만의 공간 이였습니다!!너무 불쾌하고 치욕스러워서 잊혀지지 않습니다!걸려있던 프로필을 떼어버리고 싶은 생각이 절실했습니다!!그 직원이 근무하는 한! 제 여동생은 그 체육시설에 발걸음도 안한다고 합니다!익산시에 정말 실망이 이만저만 아닙니다!불친절하고 근무태도가 그렇게 불성실한 직원은 시민들을 위해서라도 분명히 잘잘못을 직시하시길 건의드리는바입니다.분명히 건의 드리오니 그 직원 어떻게 하는지 두고 보겠습니다!!","2017-08-14","2017-08-14","2017-08-23","시정에바란다","처리완료","줄포면"
138,"음식물및 일반쓰레기 배출건","익산역을 자주 애용하는 군산에 거주하는 군산 시민입니다. 익산역앞 주차장 외의 뒷편의 넓은 서부주차장이 있어서 많은 편리함을 느끼는 이용자죠. 장거리 여행을 다녀와도 주차비가 무료이고 넓은 주차공간으로 편리함을 주심에 감사드립니다 그런데 하나의 옥의 티 처럼 흠이 있더라고요.   넓은 주차장을 놓아두고 진입로 양쪽에 주차하는 양심들에 대해서 단속이 있어야 할것 같습니다.  한방향이 아니고 양쪽으로 불법주차되어 있어서 진입로 들어가기가 복잡하답니다. 넓은 주차장을  무료로  이용할 수 있음을 알리는 홍보도 더 해야할것같구요. 주변의 주차단속 신경좀 써주셨으면 합니다.","2017-08-15","2017-08-15","2017-09-06","도로공원과","처리완료","부안읍"
139,"개인택시요금","저녁만되면 역겨운 똥냄새가 온동네를 뒤덮습니다. 찾아 보니까 몇년전부터 지속적으로 민원제기가 되어온걸로 보이는데 도대체 익산시는 무얼하는겁니까? 냄새나서 누가 놀러오면 창피합니다 익산시 산다는것이. 민원이 들어오면 조사를 했을것이고 원인이 무엇인지. 냄새나게하는 업체가 어디인지. 만약 오폐수처리업체라면 하루 처리량이 얼마인지.  그걸 초과해서 냄새가 나는건 아닌지. 익산지역 뿐만아니라 타지역거까지 들여와 익산에 똥뿌리는건 아닌지  파악하고 정보 공개 요구합니다. 제발 공무원으로서 본분을 다하십시요. 익산시에 시민이 다 떠나면 익산도 없는겁니다.","2017-10-07","2017-10-07","2017-10-11","교통행정과","처리완료","부안읍"
140,"익산 잉글리쉬 쉽독","이 사건은 한사람의 인생을 쭉 함께해왔던 생명을 잔인하게 학대하고 살해한 사건입니다. 결코 가볍게 다뤄져서는 안된다고 생각합니다주인이 찾고있는것을 뻔히 알면서 바로 잡아먹은것 그리고 서로 숨기다가 버스 블랙박스로 겨우 잡은걸 생각했을때 죄질이 아주 나쁘다고 생각합니다. 그리고 익산 올드 잉글리쉬 쉽독이라고 지역명까지 붙어서 인터넷에 돌아다니는 마당에 어정쩡한 솜방망이 처벌은 지역의 이미지도 실추시킬수 있습니다. 명심해주십시오. 무엇이 옳고 바른길인지는 다 알고 계시리라 믿습니다. 제발 엄중 처벌 해주세요.","2016-10-03","2016-10-03","2016-10-06","축산과","처리완료","부안읍"
141,"버스정류장 원형 금연 간판 설치","실질적인 지진대비 훈련을 통한 지역주민들이 재난안전역량 제고방안","2016-09-22",,,"기획예산과","처리완료","부안읍"
142,"영등2동 주민센터 이용이 불편하네요.","방금전 2018 05 06 오전 9시 40분경 익산역->신동제일아파트 방면으로 택시를 탔습니다.항상 자주 왕래하던 코스이고 여태 대부분의 택시기사님들은 첨부한 지도 경로대로 가주셔 보통 4000~4500원 사이가 나오는 구간입니다.이분은 원대사거리 방면으로 돌아가고, 신호가 많은쪽으로 가서 아침부터 바가지를 씌우네요. 결과적으로 평소보다 대략 1000원정도 더 나왔고, 금액의 많고적음보다 연휴를 끝내고 다시 돌아온 익산에서 첫시작부터 너무나 실망스럽네요. 이런일 다시 없도록 조치 취해주시고 문자로 통보해주셨으면 합니다. 첨부파일은 택시영수증과, 네이버 지도상 추천해주는 이상적인 주행코스입니다. 3700원이라고 나오네요.. 5100원 나왔으니 25%정도 더 받았네요","2017-09-04","2017-09-04","2017-09-05","영등2동","처리완료","덕적골1길"
143,"(SPP-1703-2800919)벗겨진 도로","전라북도 부안군 부안읍 봉덕리 765행복웨딩홀 쪽 도로가파손되었습니다","2017-03-28",,"2017-04-11","변산면","처리완료","부안읍"
144,"관광지(지자체) 쓰레기 절감 방안","공연장 등 공공건물 내 충돌방지 시설","2016-05-28",,"2016-06-01","환경과","처리완료","부안읍"
145,"사실관계 확인요청","사실관계 확인 요청2(익산시장)행정심판위원회에 제기된 휴폐업 축사 매입이행 청구의 익산시 답변서 5~6페지에 적시된 설명 관련하여 아래와 같이 사실 관계를 확인하오니 알려하여 주시기 바랍니다.1. 한센인 집단이주가 맞는지 확인 요망2. 신축 시설이 우리가 보통 인식하는 양로원 시설인지?, 개별 등기 분양하는 주택(공동주택포함)인지?, 임차시설인지? 확인 요망3. (1)양로시설이라고 하면 입소와 퇴소가 자유로운지 확인요망   (2)양로시설 입소비용이 자비인지?, 지방비(국비포함)인지 확인요망4. 개별 등기 분양하는 공동/주택이라고 하면, 주택 구입비는 지방(국가 포함)이 부담해 주는 것인지?, 입주자가 부담하는지 확인요망익산시의 답변(기존포함) 및 사실관계 확인요청들은 언론에 배포될 자료에 포함될 수 있음을 알려드립니다.   ","2017-10-15","2017-10-15","2017-10-20","녹색환경과","처리완료","계화면"
146,"관광지(지자체) 쓰레기 절감 방안"," 전라북도 익산시 어양동 - 근린공원전라북도 익산시 어양동 - 어양공원어양동 로컬푸드 직매장 근처 부송1로~하나로 교차로 주변 교통표지판 현수기 신고.철거전, 철거후 사진 첨부 요망.","2016-07-04",,,"기획예산과","처리완료","삼천천변1길"
147,"익산하수슬러지자원화시설공사 국고보조금 회수에 대하여","안녕하십니까환경부에서 `2015년 지자체 환경분야 감사결과`에 따르면(익산시 부분만...)환경부(장관 윤성규)는 2015년 한 해 동안 지자체 환경분야에 대해 정부합동으로 감사한 결과, 위반행위 52건을 적발했다고 밝혔다. 이에 환경부는 징계 8명, 훈계 98명 등 관련 담당자의 문책을 해당 지자체에 요청하고, 국고보조금 회수 등 156억 5,600만원의 재정상처분을 실시했다.주민 민원을 사유로 환경부 장관의 승인 절차를 무시하고 국고보조사업을 임의로 중단한 익산시 자원화시설 등 사법처리가 필요한 7건은 수사기관에 고발 조치했다.2015년 지자체 환경분야 감사 결과에 대한 대표적인 위반행위는 다음과 같다.익산시는 2014년 12월 국고보조사업인 하수슬러지 자원화시설(건조 100톤+소각 44톤) 공사 중(공정율 17.3%) 주민 민원이 발생했다는 사유로 환경부 장관의 승인 등 필요한 절차를 무시하고 부당하게 공사계약을 해지했다.환경부는 이 같은 조치로 총 사업비 198억원 중 이미 집행된 금액 46억원에서 공사금액으로 집행된 약 33억원이 예산낭비될 것으로 예상됨에도 적법절차를 위반하면서 공사를 중단한 익산시장을 고발 조치했다. 상기와 같이 감사결과가 발표되었습니다.여기서아래사항에 대하여 질문을 드리오니 답변을 부탁드립니다 1. 익산하수슬러지자원화시설공사 공사중단 및 계약해지에 따라국고보조금은 환수조치 되었습니까?2. 국고보조금 환수조치가 되었다면언제, 얼마를 환수조치 되었는지요? 감사합니다  ","2016-04-27","2016-04-27",,,"처리완료","변산면"
148,"학교 도로 측 정비","익산시  주말 당직병원  당직약국이 명시되어있는것과많은 부분이 틀립니다 . 시정부탁드립니다. 현제 익산시 당직병원은  원광대학교 응급실  익산병원 응급실 동산병원응급실 운영되고있는걸로 알고있습니다. 응급실은 응급할때 가야하지않습니까 또한 진료비 자체가 비쌉니다. 내과진료를 받고싶거나 그러면  응급실 빼고는 갈곳이 없어 주변  전주 군산 김제까지 주말에 진료를 보러가는일이 간혹있습니다. 그렇타고하여 성인들이  소아과 를 내방하여 진료를 받을수없지않습니까. 물런 병원도 개인들이 하는것이라 강제로 운영하게하기 어렵겠지만서도  익산 주변  전주 군산 김제시 같은 경우에는  1개  3개  4개 정도 내과진료및 피부 이빈후과 같은 간단한 치료를 받을수있게 운영되고있습니다  부디 익산시에서도  개인병원들과 협의하여 주말에도 잠깐이라도 진료를 받을수있도록 해주시면 감사하겠습니다","2018-07-04","2018-07-04","2018-07-06","도로공원과","처리완료","보안면"
