특성별,만족도및해결방법별,항목,단위,2017 년
고등학교 졸업,매우 불만족,주차공간 만족도,%,6.3
고등학교 졸업,평균,주차공간 만족도,점,3.18
고등학교 졸업,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,38.4
고등학교 졸업,공영주차장 조성 확대,주차공간 만족도,,31.5
고등학교 졸업,거주자 우선 주차제 시행,주차공간 만족도,,12.2
고등학교 졸업,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8.9
고등학교 졸업,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.3
고등학교 졸업,차량 총량제 시행,주차공간 만족도,,3.4
대학교 졸업,매우 만족,주차공간 만족도,%,8.6
대학교 졸업,약간 만족,주차공간 만족도,%,29.8
대학교 졸업,보통이다,주차공간 만족도,%,34.6
대학교 졸업,약간 불만족,주차공간 만족도,%,20.4
대학교 졸업,매우 불만족,주차공간 만족도,%,6.6
대학교 졸업,평균,주차공간 만족도,점,3.13
대학교 졸업,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,42.1
대학교 졸업,공영주차장 조성 확대,주차공간 만족도,,32.7
대학교 졸업,거주자 우선 주차제 시행,주차공간 만족도,,10.8
대학교 졸업,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,8.8
대학교 졸업,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,2.7
대학교 졸업,차량 총량제 시행,주차공간 만족도,,2.5
대학원 졸업,매우 만족,주차공간 만족도,%,2.5
대학원 졸업,약간 만족,주차공간 만족도,%,27.8
대학원 졸업,보통이다,주차공간 만족도,%,44
대학원 졸업,약간 불만족,주차공간 만족도,%,14.9
대학원 졸업,매우 불만족,주차공간 만족도,%,10.9
대학원 졸업,평균,주차공간 만족도,점,2.96
대학원 졸업,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,25.3
대학원 졸업,공영주차장 조성 확대,주차공간 만족도,,33.9
대학원 졸업,거주자 우선 주차제 시행,주차공간 만족도,,12.5
대학원 졸업,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,7.9
대학원 졸업,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,15.4
대학원 졸업,차량 총량제 시행,주차공간 만족도,,2.9
전문/관리,매우 만족,주차공간 만족도,%,7.2
전문/관리,약간 만족,주차공간 만족도,%,28
전문/관리,보통이다,주차공간 만족도,%,42.5
전문/관리,약간 불만족,주차공간 만족도,%,13.5
전문/관리,매우 불만족,주차공간 만족도,%,8.7
전문/관리,평균,주차공간 만족도,점,3.11
전문/관리,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,44
전문/관리,공영주차장 조성 확대,주차공간 만족도,,32.6
전문/관리,거주자 우선 주차제 시행,주차공간 만족도,,9.4
전문/관리,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,6.5
전문/관리,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,4.5
전문/관리,차량 총량제 시행,주차공간 만족도,,2.1
사무직,매우 만족,주차공간 만족도,%,10.5
사무직,약간 만족,주차공간 만족도,%,25.7
사무직,보통이다,주차공간 만족도,%,49.6
사무직,약간 불만족,주차공간 만족도,%,10.9
사무직,매우 불만족,주차공간 만족도,%,3.3
사무직,평균,주차공간 만족도,점,3.29
사무직,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,45.5
사무직,공영주차장 조성 확대,주차공간 만족도,,28.3
사무직,거주자 우선 주차제 시행,주차공간 만족도,,11.4
사무직,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,11.2
사무직,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,0.7
사무직,차량 총량제 시행,주차공간 만족도,,2.9
서비스/판매,매우 만족,주차공간 만족도,%,11
서비스/판매,약간 만족,주차공간 만족도,%,28
서비스/판매,보통이다,주차공간 만족도,%,29
서비스/판매,약간 불만족,주차공간 만족도,%,25.6
서비스/판매,매우 불만족,주차공간 만족도,%,6.4
서비스/판매,평균,주차공간 만족도,점,3.12
서비스/판매,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,34.6
서비스/판매,공영주차장 조성 확대,주차공간 만족도,,36
서비스/판매,거주자 우선 주차제 시행,주차공간 만족도,,14.6
서비스/판매,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,7.4
서비스/판매,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,3.8
서비스/판매,차량 총량제 시행,주차공간 만족도,,3.2
농/림/어업,매우 만족,주차공간 만족도,%,20.8
농/림/어업,약간 만족,주차공간 만족도,%,39.7
농/림/어업,보통이다,주차공간 만족도,%,27
농/림/어업,약간 불만족,주차공간 만족도,%,11.2
농/림/어업,매우 불만족,주차공간 만족도,%,1.3
농/림/어업,평균,주차공간 만족도,점,3.67
농/림/어업,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,32.2
농/림/어업,공영주차장 조성 확대,주차공간 만족도,,36.9
농/림/어업,거주자 우선 주차제 시행,주차공간 만족도,,13.2
농/림/어업,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.9
농/림/어업,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,5
농/림/어업,차량 총량제 시행,주차공간 만족도,,2.5
기능/단순노무,매우 만족,주차공간 만족도,%,8.9
기능/단순노무,약간 만족,주차공간 만족도,%,30.5
기능/단순노무,보통이다,주차공간 만족도,%,32
기능/단순노무,약간 불만족,주차공간 만족도,%,23.3
기능/단순노무,매우 불만족,주차공간 만족도,%,5.3
기능/단순노무,평균,주차공간 만족도,점,3.14
기능/단순노무,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,41.6
기능/단순노무,공영주차장 조성 확대,주차공간 만족도,,34.1
기능/단순노무,거주자 우선 주차제 시행,주차공간 만족도,,7.9
기능/단순노무,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,7.2
기능/단순노무,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,3.7
기능/단순노무,차량 총량제 시행,주차공간 만족도,,3.8
학생,매우 만족,주차공간 만족도,%,3.7
학생,약간 만족,주차공간 만족도,%,16
학생,보통이다,주차공간 만족도,%,80.3
학생,약간 불만족,주차공간 만족도,%,0
학생,매우 불만족,주차공간 만족도,%,0
학생,평균,주차공간 만족도,점,3.23
학생,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,13
학생,공영주차장 조성 확대,주차공간 만족도,,28.9
학생,거주자 우선 주차제 시행,주차공간 만족도,,19.1
학생,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,26
학생,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,13
학생,차량 총량제 시행,주차공간 만족도,,0
주부,매우 만족,주차공간 만족도,%,13.7
주부,약간 만족,주차공간 만족도,%,35.5
주부,보통이다,주차공간 만족도,%,36.4
주부,약간 불만족,주차공간 만족도,%,9.8
주부,매우 불만족,주차공간 만족도,%,4.5
주부,평균,주차공간 만족도,점,3.44
주부,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,39.9
주부,공영주차장 조성 확대,주차공간 만족도,,27.3
주부,거주자 우선 주차제 시행,주차공간 만족도,,11.5
주부,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,9.3
주부,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,7.9
주부,차량 총량제 시행,주차공간 만족도,,2.5
무직/기타,매우 만족,주차공간 만족도,%,12.7
무직/기타,약간 만족,주차공간 만족도,%,32.3
무직/기타,보통이다,주차공간 만족도,%,30.3
무직/기타,약간 불만족,주차공간 만족도,%,16.6
무직/기타,매우 불만족,주차공간 만족도,%,8.2
무직/기타,평균,주차공간 만족도,점,3.25
무직/기타,"자투리땅, 유휴지를 발굴하여 주차공간으로 활용",주차공간 만족도,,29.5
무직/기타,공영주차장 조성 확대,주차공간 만족도,,28.1
무직/기타,거주자 우선 주차제 시행,주차공간 만족도,,15.3
무직/기타,"공공시설(학교, 공원 등) 주차장 야간 개방",주차공간 만족도,,12.3
무직/기타,담장 허물어 내집 주차장 조성 사업 확대,주차공간 만족도,,5.3
무직/기타,차량 총량제 시행,주차공간 만족도,,5.9
