특성별,현황별,항목,단위,2019 년
보증금 있는 연/월세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,38.9
보증금 있는 연/월세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,23.2
보증금 있는 연/월세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,18.9
보증금 있는 연/월세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,4.6
보증금 있는 연/월세,차량 총량제 시행,주차공간 만족도 및 문제해결,,5.8
보증금 있는 연/월세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,1.8
보증금 있는 연/월세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3.6
보증금 있는 연/월세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2.1
보증금 있는 연/월세,기타,주차공간 만족도 및 문제해결,,1.1
보증금 없는 연/월세,매우 만족,주차공간 만족도 및 문제해결,%,9.9
보증금 없는 연/월세,약간 만족,주차공간 만족도 및 문제해결,%,25.3
보증금 없는 연/월세,보통,주차공간 만족도 및 문제해결,%,38.4
보증금 없는 연/월세,약간 불만족,주차공간 만족도 및 문제해결,%,10.1
보증금 없는 연/월세,매우 불만족,주차공간 만족도 및 문제해결,%,16.3
보증금 없는 연/월세,5점 평균,주차공간 만족도 및 문제해결,점,3.02
보증금 없는 연/월세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,38.5
보증금 없는 연/월세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,10.3
보증금 없는 연/월세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,25.3
보증금 없는 연/월세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,10.2
보증금 없는 연/월세,차량 총량제 시행,주차공간 만족도 및 문제해결,,6.5
보증금 없는 연/월세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.2
보증금 없는 연/월세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,6.9
보증금 없는 연/월세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
보증금 없는 연/월세,기타,주차공간 만족도 및 문제해결,,-
무상 및 기타,매우 만족,주차공간 만족도 및 문제해결,%,15.7
무상 및 기타,약간 만족,주차공간 만족도 및 문제해결,%,30.9
무상 및 기타,보통,주차공간 만족도 및 문제해결,%,30.9
무상 및 기타,약간 불만족,주차공간 만족도 및 문제해결,%,13.7
무상 및 기타,매우 불만족,주차공간 만족도 및 문제해결,%,8.8
무상 및 기타,5점 평균,주차공간 만족도 및 문제해결,점,3.31
무상 및 기타,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,35.8
무상 및 기타,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,26.5
무상 및 기타,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,6
무상 및 기타,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,17.4
무상 및 기타,차량 총량제 시행,주차공간 만족도 및 문제해결,,6.4
무상 및 기타,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,1.1
무상 및 기타,차고지 증명제 실시,주차공간 만족도 및 문제해결,,1.1
무상 및 기타,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,5.7
무상 및 기타,기타,주차공간 만족도 및 문제해결,,-
남성,매우 만족,주차공간 만족도 및 문제해결,%,20
남성,약간 만족,주차공간 만족도 및 문제해결,%,27.1
남성,보통,주차공간 만족도 및 문제해결,%,24.9
남성,약간 불만족,주차공간 만족도 및 문제해결,%,16.6
남성,매우 불만족,주차공간 만족도 및 문제해결,%,11.5
남성,5점 평균,주차공간 만족도 및 문제해결,점,3.28
남성,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,32.5
남성,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,23.6
남성,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,18.3
남성,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,9.9
남성,차량 총량제 시행,주차공간 만족도 및 문제해결,,5.9
남성,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3.1
남성,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.9
남성,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2
남성,기타,주차공간 만족도 및 문제해결,,1.8
여성,매우 만족,주차공간 만족도 및 문제해결,%,17.7
여성,약간 만족,주차공간 만족도 및 문제해결,%,25.2
여성,보통,주차공간 만족도 및 문제해결,%,34.9
여성,약간 불만족,주차공간 만족도 및 문제해결,%,12.8
여성,매우 불만족,주차공간 만족도 및 문제해결,%,9.4
여성,5점 평균,주차공간 만족도 및 문제해결,점,3.29
여성,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,41.9
여성,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,21.9
여성,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,16.7
여성,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,8.8
여성,차량 총량제 시행,주차공간 만족도 및 문제해결,,2.6
여성,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3.2
여성,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2
여성,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.3
여성,기타,주차공간 만족도 및 문제해결,,1.6
15~19세,매우 만족,주차공간 만족도 및 문제해결,%,23.7
15~19세,약간 만족,주차공간 만족도 및 문제해결,%,10.9
15~19세,보통,주차공간 만족도 및 문제해결,%,7.4
15~19세,약간 불만족,주차공간 만족도 및 문제해결,%,58.1
15~19세,매우 불만족,주차공간 만족도 및 문제해결,%,-
15~19세,5점 평균,주차공간 만족도 및 문제해결,점,3
15~19세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,81.3
15~19세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,-
15~19세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,-
15~19세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,18.7
15~19세,차량 총량제 시행,주차공간 만족도 및 문제해결,,-
15~19세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,-
15~19세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
15~19세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
15~19세,기타,주차공간 만족도 및 문제해결,,-
20~29세,매우 만족,주차공간 만족도 및 문제해결,%,14.2
20~29세,약간 만족,주차공간 만족도 및 문제해결,%,27.3
20~29세,보통,주차공간 만족도 및 문제해결,%,36.2
20~29세,약간 불만족,주차공간 만족도 및 문제해결,%,15.2
20~29세,매우 불만족,주차공간 만족도 및 문제해결,%,7.1
20~29세,5점 평균,주차공간 만족도 및 문제해결,점,3.26
20~29세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,42.7
20~29세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,16.8
20~29세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,13.5
20~29세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,5.2
20~29세,차량 총량제 시행,주차공간 만족도 및 문제해결,,-
20~29세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,5.2
20~29세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,15.1
20~29세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.5
20~29세,기타,주차공간 만족도 및 문제해결,,-
30~39세,매우 만족,주차공간 만족도 및 문제해결,%,13.3
30~39세,약간 만족,주차공간 만족도 및 문제해결,%,26.6
30~39세,보통,주차공간 만족도 및 문제해결,%,25.1
30~39세,약간 불만족,주차공간 만족도 및 문제해결,%,18.6
30~39세,매우 불만족,주차공간 만족도 및 문제해결,%,16.4
30~39세,5점 평균,주차공간 만족도 및 문제해결,점,3.02
30~39세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,37.6
30~39세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,20
30~39세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,16.6
30~39세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,13.7
30~39세,차량 총량제 시행,주차공간 만족도 및 문제해결,,5.4
30~39세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,1.6
30~39세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,1.9
30~39세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2.7
30~39세,기타,주차공간 만족도 및 문제해결,,0.5
40~49세,매우 만족,주차공간 만족도 및 문제해결,%,19.8
40~49세,약간 만족,주차공간 만족도 및 문제해결,%,23.8
40~49세,보통,주차공간 만족도 및 문제해결,%,25.9
40~49세,약간 불만족,주차공간 만족도 및 문제해결,%,18.3
40~49세,매우 불만족,주차공간 만족도 및 문제해결,%,12.2
40~49세,5점 평균,주차공간 만족도 및 문제해결,점,3.21
40~49세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,35.5
40~49세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,27.6
40~49세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,17.7
40~49세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,7.7
40~49세,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.7
40~49세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.2
40~49세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.2
40~49세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.1
40~49세,기타,주차공간 만족도 및 문제해결,,1.4
50~59세,매우 만족,주차공간 만족도 및 문제해결,%,16.9
50~59세,약간 만족,주차공간 만족도 및 문제해결,%,28.9
50~59세,보통,주차공간 만족도 및 문제해결,%,26.4
50~59세,약간 불만족,주차공간 만족도 및 문제해결,%,15.6
50~59세,매우 불만족,주차공간 만족도 및 문제해결,%,12.2
50~59세,5점 평균,주차공간 만족도 및 문제해결,점,3.23
50~59세,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,37.6
50~59세,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,17.2
50~59세,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,19.9
50~59세,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,7.6
50~59세,차량 총량제 시행,주차공간 만족도 및 문제해결,,8.2
50~59세,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3.6
50~59세,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.8
50~59세,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1.4
50~59세,기타,주차공간 만족도 및 문제해결,,1.8
60세 이상,매우 만족,주차공간 만족도 및 문제해결,%,22.2
60세 이상,약간 만족,주차공간 만족도 및 문제해결,%,26.1
60세 이상,보통,주차공간 만족도 및 문제해결,%,32
60세 이상,약간 불만족,주차공간 만족도 및 문제해결,%,12
60세 이상,매우 불만족,주차공간 만족도 및 문제해결,%,7.7
60세 이상,5점 평균,주차공간 만족도 및 문제해결,점,3.43
60세 이상,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,30.9
60세 이상,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,27.2
60세 이상,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,17.6
60세 이상,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,10.3
60세 이상,차량 총량제 시행,주차공간 만족도 및 문제해결,,2.5
60세 이상,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,4.1
60세 이상,차고지 증명제 실시,주차공간 만족도 및 문제해결,,2.3
60세 이상,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,2.2
60세 이상,기타,주차공간 만족도 및 문제해결,,2.8
초등학교 졸업 이하,매우 만족,주차공간 만족도 및 문제해결,%,34.4
초등학교 졸업 이하,약간 만족,주차공간 만족도 및 문제해결,%,27.6
초등학교 졸업 이하,보통,주차공간 만족도 및 문제해결,%,18.6
초등학교 졸업 이하,약간 불만족,주차공간 만족도 및 문제해결,%,14.9
초등학교 졸업 이하,매우 불만족,주차공간 만족도 및 문제해결,%,4.5
초등학교 졸업 이하,5점 평균,주차공간 만족도 및 문제해결,점,3.72
초등학교 졸업 이하,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,37.3
초등학교 졸업 이하,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,41.1
초등학교 졸업 이하,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,9.8
초등학교 졸업 이하,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,-
초등학교 졸업 이하,차량 총량제 시행,주차공간 만족도 및 문제해결,,-
초등학교 졸업 이하,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,5.9
초등학교 졸업 이하,차고지 증명제 실시,주차공간 만족도 및 문제해결,,-
초등학교 졸업 이하,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,-
초등학교 졸업 이하,기타,주차공간 만족도 및 문제해결,,5.9
중학교 졸업,매우 만족,주차공간 만족도 및 문제해결,%,25
중학교 졸업,약간 만족,주차공간 만족도 및 문제해결,%,25.4
중학교 졸업,보통,주차공간 만족도 및 문제해결,%,21.4
중학교 졸업,약간 불만족,주차공간 만족도 및 문제해결,%,16.5
중학교 졸업,매우 불만족,주차공간 만족도 및 문제해결,%,11.6
중학교 졸업,5점 평균,주차공간 만족도 및 문제해결,점,3.36
중학교 졸업,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,35.9
중학교 졸업,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,20.6
중학교 졸업,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,17.2
중학교 졸업,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,12
중학교 졸업,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.3
중학교 졸업,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.6
중학교 졸업,차고지 증명제 실시,주차공간 만족도 및 문제해결,,1.4
중학교 졸업,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,3.6
중학교 졸업,기타,주차공간 만족도 및 문제해결,,2.5
고등학교 졸업,매우 만족,주차공간 만족도 및 문제해결,%,16.8
고등학교 졸업,약간 만족,주차공간 만족도 및 문제해결,%,30.9
고등학교 졸업,보통,주차공간 만족도 및 문제해결,%,27.5
고등학교 졸업,약간 불만족,주차공간 만족도 및 문제해결,%,14.4
고등학교 졸업,매우 불만족,주차공간 만족도 및 문제해결,%,10.4
고등학교 졸업,5점 평균,주차공간 만족도 및 문제해결,점,3.29
고등학교 졸업,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,38.7
고등학교 졸업,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,23
고등학교 졸업,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,13.5
고등학교 졸업,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,9.9
고등학교 졸업,차량 총량제 시행,주차공간 만족도 및 문제해결,,4.8
고등학교 졸업,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,3.8
고등학교 졸업,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3.3
고등학교 졸업,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,1
고등학교 졸업,기타,주차공간 만족도 및 문제해결,,2
대학교 졸업 이상,매우 만족,주차공간 만족도 및 문제해결,%,15.1
대학교 졸업 이상,약간 만족,주차공간 만족도 및 문제해결,%,21.5
대학교 졸업 이상,보통,주차공간 만족도 및 문제해결,%,37.8
대학교 졸업 이상,약간 불만족,주차공간 만족도 및 문제해결,%,14.8
대학교 졸업 이상,매우 불만족,주차공간 만족도 및 문제해결,%,10.8
대학교 졸업 이상,5점 평균,주차공간 만족도 및 문제해결,점,3.15
대학교 졸업 이상,공영주차장 조성  확대,주차공간 만족도 및 문제해결,,31
대학교 졸업 이상,"자투리땅, 유휴지를 발굴하여  주차공간으로 활용",주차공간 만족도 및 문제해결,,24.8
대학교 졸업 이상,거주자 우선 주차제 시행,주차공간 만족도 및 문제해결,,24.2
대학교 졸업 이상,공공시설  주차장 야간 개방,주차공간 만족도 및 문제해결,,7
대학교 졸업 이상,차량 총량제 시행,주차공간 만족도 및 문제해결,,5.9
대학교 졸업 이상,담장 허물어 내집 주차장 조성  사업 확대,주차공간 만족도 및 문제해결,,2.6
대학교 졸업 이상,차고지 증명제 실시,주차공간 만족도 및 문제해결,,3.3
대학교 졸업 이상,다세대 주택 주차대수  법정화 필요,주차공간 만족도 및 문제해결,,0.9
대학교 졸업 이상,기타,주차공간 만족도 및 문제해결,,0.3
